IP地址,端口,TLS,数据中心,地区,城市,国家,网络延迟,下载速度
47.245.113.117,2053,TRUE,SIN-SG,Asia Pacific,Singapore,SG,189 ms,10829 kB/s
8.219.213.133,2096,TRUE,SIN-SG,Asia Pacific,Singapore,SG,190 ms,10748 kB/s
8.219.58.64,8443,TRUE,SIN-SG,Asia Pacific,Singapore,SG,187 ms,10539 kB/s
138.2.80.183,2053,TRUE,SIN-SG,Asia Pacific,Singapore,SG,212 ms,10399 kB/s
158.178.246.169,8443,TRUE,SIN-SG,Asia Pacific,Singapore,SG,206 ms,10314 kB/s
8.222.160.176,2053,TRUE,SIN-SG,Asia Pacific,Singapore,SG,224 ms,10245 kB/s
47.74.13.94,2083,TRUE,NRT-JP,Asia Pacific,Tokyo,JP,68 ms,10897 kB/s
47.74.13.94,2096,TRUE,NRT-JP,Asia Pacific,Tokyo,JP,67 ms,10898 kB/s
150.230.212.9,2053,TRUE,NRT-JP,Asia Pacific,Tokyo,JP,102 ms,10899 kB/s
155.248.174.71,2096,TRUE,NRT-JP,Asia Pacific,Tokyo,JP,104 ms,10900 kB/s
141.147.164.54,8443,TRUE,NRT-JP,Asia Pacific,Tokyo,JP,99 ms,10901 kB/s
47.74.43.95,2087,TRUE,HKG,Asia Pacific,Hong Kong,HK,150 ms,10902 kB/s
47.74.12.139,2096,TRUE,HKG,Asia Pacific,Hong Kong,HK,160 ms,10903 kB/s
47.74.27.211,2096,TRUE,HKG,Asia Pacific,Hong Kong,HK,157 ms,10904 kB/s
47.74.27.211,2083,TRUE,HKG,Asia Pacific,Hong Kong,HK,158 ms,10905 kB/s
47.243.183.127,443,TRUE,HKG,Asia Pacific,Hong Kong,HK,33 ms,10906 kB/s
8.222.130.137,2053,TRUE,SG,Asia Pacific,Singapore,234 ms,34 ms,10907 kB/s
47.236.87.206,2053,TRUE,SG,Asia Pacific,Singapore,241 ms,35 ms,10908 kB/s
8.219.142.229,2096,TRUE,SG,Asia Pacific,Singapore,234 ms,36 ms,10909 kB/s
47.236.83.239,2096,TRUE,SG,Asia Pacific,Singapore,233 ms,37 ms,10910 kB/s
180.70.218.108,10411,TRUE,Seoul,Asia Pacific,Seoul,70 ms,38 ms,10911 kB/s
8.222.215.228,2083,TRUE,SG,Asia Pacific,Singapore,230 ms,39 ms,10912 kB/s
35.229.161.32,443,TRUE,TPE,Asia Pacific,Asia Pacific,TW,262 ms,10913 kB/s
125.227.215.155,10453,TRUE,TPE,Asia Pacific,Taipei,TW,263 ms,10914 kB/s
34.34.186.205,443,TRUE,CDG-BN,Europe,Europe,BN,264 ms,10915 kB/s
34.34.186.205,443,TRUE,CDG-BN,Europe,Europe,BN,265 ms,10916 kB/s
58.123.132.16,10327,TRUE,ICN-KR,Asia Pacific,Seoul,KR,95 ms,10917 kB/s
219.240.54.189,10434,TRUE,ICN-KR,Asia Pacific,Seoul,KR,71 ms,10918 kB/s
58.234.19.225,30111,TRUE,ICN-KR,Asia Pacific,Seoul,KR,73 ms,10919 kB/s
1.237.205.4,10323,TRUE,ICN-KR,Asia Pacific,Seoul,KR,70 ms,10920 kB/s
211.44.160.106,10096,TRUE,ICN-KR,Asia Pacific,Seoul,KR,69 ms,10921 kB/s
211.210.72.224,10018,TRUE,ICN-KR,Asia Pacific,Seoul,KR,77 ms,10922 kB/s
